"Start","Stop","Length","Frame"
43969,44286,318,1
194725,195087,363,1
292660,293010,351,1
308815,309216,402,1
328093,328395,303,1
349330,349659,330,1
372766,373110,345,1
410374,410832,459,1
449734,450240,507,1
476392,476739,348,1
478420,478758,339,1
549043,549387,345,1
553831,554199,369,1
621223,621624,402,1
718321,718698,378,1
721216,721572,357,1
762163,762903,741,1
804268,804570,303,1
812644,814713,2070,1
816445,816783,339,1
819889,820398,510,1
820441,820863,423,1
848608,848961,354,1
858424,858747,324,1
893890,894276,387,1
903142,903444,303,1
915709,916023,315,1
960598,961659,1062,1
1072483,1072797,315,1
1073383,1073688,306,1
1311211,1311633,423,1
1389826,1390662,837,1
1403716,1404051,336,1
1420219,1420554,336,1
1547293,1547607,315,1
1580680,1581000,321,1
1704187,1704603,417,1
1706410,1707012,603,1
1709590,1709898,309,1
1743826,1744143,318,1
1817551,1817913,363,1
1863667,1864014,348,1
1890859,1891254,396,1
2030599,2030982,384,1
2060419,2060799,381,1
2084398,2084832,435,1
2120455,2120754,300,1
2256130,2256675,546,1
2264053,2264361,309,1
2318575,2318982,408,1
2352553,2352924,372,1
2420380,2420802,423,1
2585158,2585634,477,1
2638846,2639202,357,1
2712604,2712987,384,1
2721541,2721873,333,1
2799346,2799648,303,1
2842186,2842671,486,1
2920510,2920875,366,1
2941108,2941482,375,1
2990389,2990709,321,1
3095698,3096024,327,1
3099571,3099909,339,1
3131632,3132477,846,1
3170737,3171123,387,1
3179356,3179670,315,1
3205249,3205674,426,1
3218518,3218964,447,1
3262042,3262407,366,1
3283435,3283842,408,1
3317347,3317676,330,1
3320737,3321048,312,1
3390220,3390585,366,1
3400420,3400941,522,1
3411241,3411723,483,1
3412951,3413277,327,1
3482287,3482610,324,1
3495028,3495360,333,1
3530770,3531078,309,1
3534448,3534786,339,1
3602491,3602796,306,1
3616570,3616899,330,1
3624415,3624795,381,1
3673231,3673596,366,1
3674059,3674559,501,1
3717760,3718068,309,1
3748903,3749376,474,1
3787789,3788106,318,1
3789799,3790710,912,1
3841495,3841875,381,1
3844642,3846792,2151,1
3856492,3856938,447,1
3885787,3886086,300,1
3898081,3899145,1065,1
3909025,3909588,564,1
3910198,3910842,645,1
3910906,3912036,1131,1
3941284,3941652,369,1
3963982,3964998,1017,1
3965062,3968892,3831,1
3975256,3975591,336,1
4019446,4019754,309,1
4073755,4074543,789,1
4077349,4077759,411,1
4128964,4129473,510,1
4130677,4131135,459,1
4131295,4131621,327,1
4132273,4133007,735,1
4133920,4135185,1266,1
4136557,4137417,861,1
4147522,4147821,300,1
4176100,4176525,426,1
4176955,4177743,789,1
4178524,4178889,366,1
4178920,4179651,732,1
4215769,4216710,942,1
4254832,4255173,342,1
4255237,4256643,1407,1
4256836,4258707,1872,1
4261504,4261836,333,1
4267663,4268181,519,1
4316215,4317246,1032,1
4345024,4345563,540,1
4346938,4347438,501,1
4378186,4378509,324,1
4412620,4412952,333,1
4457698,4458018,321,1
4467244,4467594,351,1
4474522,4475067,546,1
4505254,4505583,330,1
4511095,4511436,342,1
4517482,4517832,351,1
4538428,4538910,483,1
4543630,4544010,381,1
4567468,4567785,318,1
4574011,4574346,336,1
4585399,4585758,360,1
4604644,4604961,318,1
4609528,4609905,378,1
4610005,4610352,348,1
4610593,4611096,504,1
4619383,4620033,651,1
4655068,4655481,414,1
4663855,4664175,321,1
4671334,4671948,615,1
4744834,4745283,450,1
4762627,4762977,351,1
4765105,4765467,363,1
4766419,4766868,450,1
4767055,4767483,429,1
4768468,4768929,462,1
