"Start","Stop","Length","Frame"
97759,98073,315,1
99268,99684,417,1
129580,129888,309,1
322645,322959,315,1
388768,389106,339,1
450652,451080,429,1
452587,453006,420,1
455929,456330,402,1
478579,478920,342,1
508147,508497,351,1
567115,567609,495,1
612724,613755,1032,1
664312,664683,372,1
783766,784110,345,1
788986,789309,324,1
791203,791502,300,1
895501,895854,354,1
1006333,1006641,309,1
1137493,1137945,453,1
1138909,1139223,315,1
1158499,1158954,456,1
1162399,1162698,300,1
1225702,1226052,351,1
1252165,1252650,486,1
1382614,1383036,423,1
1405696,1406085,390,1
1473025,1473354,330,1
1486087,1486641,555,1
1574572,1574901,330,1
1660852,1661241,390,1
1714546,1714905,360,1
1766092,1766421,330,1
1805839,1806177,339,1
1858003,1858344,342,1
1890598,1890981,384,1
1925152,1925460,309,1
2099326,2099652,327,1
2129779,2130093,315,1
2149576,2149911,336,1
2299192,2299632,441,1
2328577,2328891,315,1
2352100,2352480,381,1
2397361,2397690,330,1
2515870,2516289,420,1
2742022,2742363,342,1
2821825,2822190,366,1
2825224,2825565,342,1
2850397,2850702,306,1
2860030,2860365,336,1
2941561,2941896,336,1
3022327,3022686,360,1
3143770,3144171,402,1
3326896,3327198,303,1
3504823,3505278,456,1
3546049,3546360,312,1
3608878,3609279,402,1
3635059,3635391,333,1
3701614,3701919,306,1
3904411,3904797,387,1
3928885,3929367,483,1
3931249,3931758,510,1
3932104,3932445,342,1
3994378,3994740,363,1
4129498,4130028,531,1
4219624,4219944,321,1
4266586,4266981,396,1
4275085,4275393,309,1
4468249,4468563,315,1
4514542,4514940,399,1
4563826,4564200,375,1
4845136,4845474,339,1
5050330,5050752,423,1
5094142,5094501,360,1
5163349,5163648,300,1
5233624,5233977,354,1
5260714,5261085,372,1
5296372,5296917,546,1
5522644,5523012,369,1
5681107,5681430,324,1
5718112,5718456,345,1
5768641,5768940,300,1
5932585,5932884,300,1
6057331,6057720,390,1
6183196,6183657,462,1
6199318,6199695,378,1
6330460,6330771,312,1
6367099,6367413,315,1
6463297,6463617,321,1
6473056,6473487,432,1
6534691,6535026,336,1
6716293,6716610,318,1
6794638,6794976,339,1
6802465,6802773,309,1
6812833,6813201,369,1
6817342,6817767,426,1
6859996,6860376,381,1
6909430,6909765,336,1
7007197,7007967,771,1
7179811,7180110,300,1
7208953,7209270,318,1
7269841,7270146,306,1
7272925,7273248,324,1
7315345,7315734,390,1
7326817,7327206,390,1
7405117,7405443,327,1
7473736,7474131,396,1
7600339,7600794,456,1
7615093,7615431,339,1
7625419,7625739,321,1
7680262,7680738,477,1
7695358,7695684,327,1
7707400,7707735,336,1
7762108,7762515,408,1
7868017,7868403,387,1
7877008,7877331,324,1
7894021,7894341,321,1
7908178,7908783,606,1
7935931,7936305,375,1
7967647,7968012,366,1
8333734,8334066,333,1
8355601,8356002,402,1
8359264,8359584,321,1
8427535,8427861,327,1
8429074,8429391,318,1
8464996,8465343,348,1
8478379,8478678,300,1
